cycle,0,name,parent.name,is_main_stem,can_split,is_branch,energy,level,length,width,base.x,base.y,base.z,end.x,end.y,end.z
141,2,stem0,plant_seed0,true,true,false,42.299999999999955,1.0,1.677422407282897,0.23894906086650952,50.0,50.0,0.0,50.0,50.0,1.677422407282897
142,2,stem0,plant_seed0,true,true,false,42.59999999999995,1.0,1.6890674337194052,0.2406078965412258,50.0,50.0,0.0,50.0,50.0,1.6890674337194052
143,2,stem0,plant_seed0,true,true,false,42.89999999999995,1.0,1.7007089671719602,0.24226623463988034,50.0,50.0,0.0,50.0,50.0,1.7007089671719602
144,2,stem0,plant_seed0,true,true,false,43.199999999999946,1.0,1.7123470086882995,0.24392407531172358,50.0,50.0,0.0,50.0,50.0,1.7123470086882995
145,2,stem0,plant_seed0,true,true,false,43.49999999999994,1.0,1.7239815593158385,0.2455814187059599,50.0,50.0,0.0,50.0,50.0,1.7239815593158385
146,2,stem0,plant_seed0,true,true,false,43.79999999999994,1.0,1.7356126201016906,0.24723826497175078,50.0,50.0,0.0,50.0,50.0,1.7356126201016906
147,2,stem0,plant_seed0,true,true,false,44.09999999999994,1.0,1.7472401920926541,0.24889461425821283,50.0,50.0,0.0,50.0,50.0,1.7472401920926541
148,2,stem0,plant_seed0,true,true,false,44.399999999999935,1.0,1.7588642763352127,0.2505504667144178,50.0,50.0,0.0,50.0,50.0,1.7588642763352127
149,2,stem0,plant_seed0,true,true,false,44.69999999999993,1.0,1.7704848738755228,0.2522058224893907,50.0,50.0,0.0,50.0,50.0,1.7704848738755228
150,2,stem0,plant_seed0,true,true,false,44.99999999999993,1.0,1.7821019857594518,0.2538606817321156,50.0,50.0,0.0,50.0,50.0,1.7821019857594518
151,2,stem0,plant_seed0,true,true,false,45.299999999999926,1.0,1.79371561303253,0.2555150445915285,50.0,50.0,0.0,50.0,50.0,1.79371561303253
152,2,stem0,plant_seed0,true,true,false,45.59999999999992,1.0,1.8053257567399879,0.25716891121652247,50.0,50.0,0.0,50.0,50.0,1.8053257567399879
153,2,stem0,plant_seed0,true,true,false,45.89999999999992,1.0,1.816932417926739,0.2588222817559457,50.0,50.0,0.0,50.0,50.0,1.816932417926739
154,2,stem0,plant_seed0,true,true,false,46.19999999999992,1.0,1.8285355976373796,0.2604751563586011,50.0,50.0,0.0,50.0,50.0,1.8285355976373796
155,2,stem0,plant_seed0,true,true,false,46.499999999999915,1.0,1.8401352969161986,0.2621275351732476,50.0,50.0,0.0,50.0,50.0,1.8401352969161986
156,2,stem0,plant_seed0,true,true,false,46.79999999999991,1.0,1.8517315168071669,0.26377941834859925,50.0,50.0,0.0,50.0,50.0,1.8517315168071669
157,2,stem0,plant_seed0,true,true,false,47.09999999999991,1.0,1.8633242583539489,0.265430806033326,50.0,50.0,0.0,50.0,50.0,1.8633242583539489
158,2,stem0,plant_seed0,true,true,false,47.399999999999906,1.0,1.8749135225998859,0.2670816983760521,50.0,50.0,0.0,50.0,50.0,1.8749135225998859
159,2,stem0,plant_seed0,true,true,false,47.6999999999999,1.0,1.8864993105880123,0.2687320955253579,50.0,50.0,0.0,50.0,50.0,1.8864993105880123
160,2,stem0,plant_seed0,true,true,false,47.9999999999999,1.0,1.8980816233610538,0.2703819976297797,50.0,50.0,0.0,50.0,50.0,1.8980816233610538
161,2,stem0,plant_seed0,true,true,false,48.2999999999999,1.0,1.909660461961416,0.2720314048378085,50.0,50.0,0.0,50.0,50.0,1.909660461961416
162,2,stem0,plant_seed0,true,true,false,48.599999999999895,1.0,1.9212358274311891,0.27368031729789016,50.0,50.0,0.0,50.0,50.0,1.9212358274311891
163,2,stem0,plant_seed0,true,true,false,48.89999999999989,1.0,1.9328077208121635,0.2753287351584278,50.0,50.0,0.0,50.0,50.0,1.9328077208121635
164,2,stem0,plant_seed0,true,true,false,49.19999999999989,1.0,1.9443761431458095,0.2769766585677791,50.0,50.0,0.0,50.0,50.0,1.9443761431458095
165,2,stem0,plant_seed0,true,true,false,49.499999999999886,1.0,1.9559410954732777,0.27862408767425606,50.0,50.0,0.0,50.0,50.0,1.9559410954732777
166,2,stem0,plant_seed0,true,true,false,49.79999999999988,1.0,1.9675025788354186,0.28027102262612796,50.0,50.0,0.0,50.0,50.0,1.9675025788354186
167,2,stem0,plant_seed0,true,true,false,50.09999999999988,1.0,1.9790605942727673,0.28191746357161923,50.0,50.0,0.0,50.0,50.0,1.9790605942727673
168,2,stem0,plant_seed0,true,true,false,50.39999999999988,1.0,1.9906151428255439,0.28356341065890933,50.0,50.0,0.0,50.0,50.0,1.9906151428255439
169,2,stem0,plant_seed0,true,true,false,50.699999999999875,1.0,2.0021662255336587,0.2852088640361337,50.0,50.0,0.0,50.0,50.0,2.0021662255336587
170,2,stem0,plant_seed0,true,true,false,50.99999999999987,1.0,2.013713843436703,0.28685382385138214,50.0,50.0,0.0,50.0,50.0,2.013713843436703
171,2,stem0,plant_seed0,true,true,false,51.29999999999987,1.0,2.0252579975739704,0.28849829025270235,50.0,50.0,0.0,50.0,50.0,2.0252579975739704
172,2,stem0,plant_seed0,true,true,false,51.599999999999866,1.0,2.0367986889844314,0.2901422633880956,50.0,50.0,0.0,50.0,50.0,2.0367986889844314
