cycle,hour,int(cycle / 24),r_l,FC,n_L,shadow_loss,prevState'N_L',currentState'N_L',prev_value,value,pl_total,chg,length(leaf_proportion),sum(leaf_proportion),leaf_proportion
7130,2,297,0.0063,1.0,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.14318750565848015,0.14337481775756242,0.00278589582285835,-0.00297320792194062,1,0.189,[0.189]
7131,3,297,0.0063,1.0,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.14318750565848015,0.14337481775756242,0.00278589582285835,-0.00297320792194062,1,0.252,[0.252]
7132,4,297,0.0063,1.015,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.14533531824335733,0.1455254400239258,0.00278589582285835,-0.00297601760342684,1,0.315945,[0.315945]
7133,5,297,0.0063,1.015,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.14533531824335733,0.1455254400239258,0.00278589582285835,-0.00297601760342684,1,0.37988999999999995,[0.37988999999999995]
7134,6,297,0.0063,1.015,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.14533531824335733,0.1455254400239258,0.00278589582285835,-0.00297601760342684,1,0.4438349999999999,[0.4438349999999999]
7135,7,297,0.0063,1.015,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.14533531824335733,0.1455254400239258,0.00278589582285835,-0.00297601760342684,1,0.5077799999999999,[0.5077799999999999]
7136,8,297,0.0063,1.015,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.14533531824335733,0.1455254400239258,0.00278589582285835,-0.00297601760342684,1,0.5717249999999999,[0.5717249999999999]
7137,9,297,0.0063,1.015,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.14533531824335733,0.1455254400239258,0.00278589582285835,-0.00297601760342684,1,0.63567,[0.63567]
7138,10,297,0.0063,1.015,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.14533531824335733,0.1455254400239258,0.00278589582285835,-0.00297601760342684,1,0.699615,[0.699615]
7139,11,297,0.0063,1.015,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.14533531824335733,0.1455254400239258,0.00278589582285835,-0.00297601760342684,1,0.76356,[0.76356]
7140,12,297,0.0095,1.015,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.21915643227172932,0.21944312384560244,0.00278589582285835,-0.00307258739673148,1,0.859985,[0.859985]
7141,13,297,0.0095,1.015,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.21915643227172932,0.21944312384560244,0.00278589582285835,-0.00307258739673148,1,0.95641,[0.95641]
7142,14,297,0.0095,1.015,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.21915643227172932,0.21944312384560244,0.00278589582285835,-0.00307258739673148,1,1.052835,[1.052835]
7143,15,297,0.0095,1.015,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.21915643227172932,0.21944312384560244,0.00278589582285835,-0.00307258739673148,1,1.14926,[1.14926]
7144,16,297,0.0095,1.015,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.21915643227172932,0.21944312384560244,0.00278589582285835,-0.00307258739673148,1,1.245685,[1.245685]
7145,17,297,0.0095,1.015,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.21915643227172932,0.21944312384560244,0.00278589582285835,-0.00307258739673148,1,1.34211,[1.34211]
7146,18,297,0.0095,1.015,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.21915643227172932,0.21944312384560244,0.00278589582285835,-0.00307258739673148,1,1.438535,[1.438535]
