cycle,day,currentState'N_f',currentState'N_s',currentState'N_L',currentState'W_f',currentState'W_s',currentState'W_L',currentState'A_L',prevState'N_f',prevState'N_s',prevState'N_L',prevState'W_f',prevState'W_s',prevState'W_L',prevState'A_L',d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L',LAI,shadow_loss,length(leaf_aging),leaf_aging
144,6,0.14926481115239998,0.7260575911102001,1.9750764917627819,0.0,0.2,0.005,0.001,0.1177903454,0.7702979617000001,1.9709046754438788,0.0,0.2,0.005,0.001,-0.0314837399449944,0.0391250884844988,-0.00417182019833338,0.0,0.0,0.0,0.0,0.00002883611677974,0.09642499999999998,1,[1.9544978851212436]
168,7,0.18074855109739438,0.6869325026257013,1.9792483119611153,0.0,0.2,0.005,0.001,0.14926481115239998,0.7260575911102001,1.9750764917627819,0.0,0.2,0.005,0.001,-0.03148565042866885,0.03435446952080676,-0.00417182044273749,0.0,0.0,0.0,0.0,0.00002889702535463,0.09642499999999998,1,[1.9544978851212436]
192,8,0.21223420152606323,0.6525780331048945,1.9834201324038527,0.0,0.2,0.005,0.001,0.18074855109739438,0.6869325026257013,1.9792483119611153,0.0,0.2,0.005,0.001,-0.03148604398830579,0.0299059929692772,-0.00417182045813495,0.0,0.0,0.0,0.0,0.0000289579339331,0.09642499999999998,1,[1.9544978851212436]
216,9,0.24372024551436902,0.6226720401356173,1.9875919528619876,0.0,0.2,0.005,0.001,0.21223420152606323,0.6525780331048945,1.9834201324038527,0.0,0.2,0.005,0.001,-0.03148612506159099,0.0257580406182031,-0.00417182045910498,0.0,0.0,0.0,0.0,0.00002901884251179,0.09642499999999998,1,[1.9544978851212436]
240,10,0.27520637057596004,0.5969139995174142,1.9917637733210927,0.0,0.2,0.005,0.001,0.24372024551436902,0.6226720401356173,1.9875919528619876,0.0,0.2,0.005,0.001,-0.03148614176268775,0.02189033718225841,-0.00417182045916612,0.0,0.0,0.0,0.0,0.00002907975109049,0.09642499999999998,1,[1.9544978851212436]
264,11,0.3066925123386478,0.5750236623351558,1.9959355937802588,0.0,0.2,0.005,0.001,0.27520637057596004,0.5969139995174142,1.9917637733210927,0.0,0.2,0.005,0.001,-0.03148614520311369,0.01828395369226228,-0.00417182045916995,0.0,0.0,0.0,0.0,0.00002914065966919,0.09642499999999998,1,[1.9544978851212436]
288,12,0.33817865754176146,0.5567397086428935,2.000107414239429,0.0,0.2,0.005,0.001,0.3066925123386478,0.5750236623351558,1.9959355937802588,0.0,0.2,0.005,0.001,-0.03148614591184141,0.01492123530198384,-0.0041718204591702,0.0,0.0,0.0,0.0,0.0000292015682479,0.09642499999999998,1,[1.9544978851212436]
312,13,0.36966480345360286,0.5418184733409096,2.004279234698599,0.0,0.2,0.005,0.001,0.33817865754176146,0.5567397086428935,2.000107414239429,0.0,0.2,0.005,0.001,-0.03148614605783933,0.01178571902692531,-0.0041718204591702,0.0,0.0,0.0,0.0,0.0000292624768266,0.09642499999999998,1,[1.9544978851212436]
336,14,0.4011509495114422,0.5300327543139843,2.0084510551577694,0.0,0.2,0.005,0.001,0.36966480345360286,0.5418184733409096,2.004279234698599,0.0,0.2,0.005,0.001,-0.03148614608791491,0.00886205400125644,-0.00417182045917023,0.0,0.0,0.0,0.0,0.0000293233854053,0.09642499999999998,1,[1.9544978851212436]
360,15,0.4326370955993571,0.5211707003127279,2.0126228756169398,0.0,0.2,0.005,0.001,0.4011509495114422,0.5300327543139843,2.0084510551577694,0.0,0.2,0.005,0.001,-0.03148614609411047,0.00613592649902152,-0.0041718204591702,0.0,0.0,0.0,0.0,0.00002938429398401,0.09642499999999998,1,[1.9544978851212436]
