cycle,hour,SUPPLY,DEMAND,RC,xroot,dALp,FC,r_l,r_f,f_n_t,genr,sla,sum_nodes,L_dem,S_dem,F_dem,g_f,g_s,g_l,d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L',length(leaf_proportion),leaf_proportion
4611,3,-0.00295010860402994,0.14351678071127127,0.0,1.0,0.00075598751160733,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00075598751160733,0.02267861736487099,0.02122484018592092,0.09961332316047938,0.0,0.0,0.0,-0.03148614609571796,-0.03148599901869786,-0.00297320792194062,0.0,0.0,0.0,0.0,1,[0.252]
4612,4,-0.00219297849428811,0.24628219430210868,0.0,1.0,0.00076732732428144,1.015,0.0063,0.0103,0.55,0.279125,0.01524608128067083,0.00076732732428144,0.07499092338100367,0.07018374791321842,0.10110752300788657,0.0,0.0,0.0,-0.03158343828715369,-0.0319582890039784,-0.00297601760342687,0.0,0.0,0.0,0.0,1,[0.315945]
4613,5,-0.00219297849428811,0.24628219430210868,0.0,1.0,0.00076732732428144,1.015,0.0063,0.0103,0.55,0.279125,0.01524608128067083,0.00076732732428144,0.07499092338100367,0.07018374791321842,0.10110752300788657,0.0,0.0,0.0,-0.03158343828715369,-0.0319582890039784,-0.00297601760342687,0.0,0.0,0.0,0.0,1,[0.37988999999999995]
4614,6,-0.00229393030836647,0.23811011015640743,0.0,1.0,0.00076732732428144,1.015,0.0063,0.0103,0.55,0.279125,0.01615549665530733,0.00076732732428144,0.07076958001187433,0.06623300713664652,0.10110752300788657,0.0,0.0,0.0,-0.03158343828715369,-0.0319582890039784,-0.00297601760342687,0.0,0.0,0.0,0.0,1,[0.4438349999999999]
4615,7,-0.00229393030836647,0.23811011015640743,0.0,1.0,0.00076732732428144,1.015,0.0063,0.0103,0.55,0.279125,0.01615549665530733,0.00076732732428144,0.07076958001187433,0.06623300713664652,0.10110752300788657,0.0,0.0,0.0,-0.03158343828715369,-0.0319582890039784,-0.00297601760342687,0.0,0.0,0.0,0.0,1,[0.5077799999999999]
4616,8,-0.0023983366626444,0.22993802601070618,0.0,1.0,0.00076732732428144,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00076732732428144,0.06654823664274498,0.06228226636007463,0.10110752300788657,0.0,0.0,0.0,-0.03158343828715369,-0.0319582890039784,-0.00297601760342687,0.0,0.0,0.0,0.0,1,[0.5717249999999999]
4617,9,-0.0023983366626444,0.22993802601070618,0.0,1.0,0.00076732732428144,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00076732732428144,0.06654823664274498,0.06228226636007463,0.10110752300788657,0.0,0.0,0.0,-0.03158343828715369,-0.0319582890039784,-0.00297601760342687,0.0,0.0,0.0,0.0,1,[0.63567]
4618,10,-0.0023983366626444,0.22993802601070618,0.0,1.0,0.00076732732428144,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00076732732428144,0.06654823664274498,0.06228226636007463,0.10110752300788657,0.0,0.0,0.0,-0.03158343828715369,-0.0319582890039784,-0.00297601760342687,0.0,0.0,0.0,0.0,1,[0.699615]
4619,11,-0.0023983366626444,0.22993802601070618,0.0,1.0,0.00076732732428144,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00076732732428144,0.06654823664274498,0.06228226636007463,0.10110752300788657,0.0,0.0,0.0,-0.03158343828715369,-0.0319582890039784,-0.00297601760342687,0.0,0.0,0.0,0.0,1,[0.76356]
4620,12,-0.00261798989025817,0.21359385771930367,0.0,1.0,0.00076732732428144,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00076732732428144,0.05810554990448629,0.05438078480693083,0.10110752300788657,0.0,0.0,0.0,-0.0379751259445845,-0.04819107072028483,-0.0030725873967315,0.0,0.0,0.0,0.0,1,[0.859985]
4621,13,-0.00261798989025817,0.21359385771930367,0.0,1.0,0.00076732732428144,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00076732732428144,0.05810554990448629,0.05438078480693083,0.10110752300788657,0.0,0.0,0.0,-0.0379751259445845,-0.04819107072028483,-0.0030725873967315,0.0,0.0,0.0,0.0,1,[0.95641]
4622,14,-0.00261798989025817,0.21359385771930367,0.0,1.0,0.00076732732428144,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00076732732428144,0.05810554990448629,0.05438078480693083,0.10110752300788657,0.0,0.0,0.0,-0.0379751259445845,-0.04819107072028483,-0.0030725873967315,0.0,0.0,0.0,0.0,1,[1.052835]
4623,15,-0.00261798989025817,0.21359385771930367,0.0,1.0,0.00076732732428144,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00076732732428144,0.05810554990448629,0.05438078480693083,0.10110752300788657,0.0,0.0,0.0,-0.0379751259445845,-0.04819107072028483,-0.0030725873967315,0.0,0.0,0.0,0.0,1,[1.14926]
