cycle,day,currentState'N_f',currentState'N_s',currentState'N_L',currentState'W_f',currentState'W_s',currentState'W_L',currentState'A_L',prevState'N_f',prevState'N_s',prevState'N_L',prevState'W_f',prevState'W_s',prevState'W_L',prevState'A_L',d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L',LAI
24,1,0.0,2.0,4.312173816812093,0.0,1.5,0.05,0.5,0.0,2.0,4.312173816812093,0.0,1.5,0.05,0.5,-0.025,0.252,-0.02,0.0,0.0,0.0,0.0,0.03147886886272828
0,0,0.0,2.0,3.591824131563809,0.0,1.5,0.05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02622031616041581
24,1,0.0,2.0,3.591824131563809,0.0,1.5,0.05,0.5,0.0,2.0,3.591824131563809,0.0,1.5,0.05,0.5,-0.025,0.252,-0.02,0.0,0.0,0.0,0.0,0.02622031616041581
48,2,0.025,1.748,3.611824131563809,0.0,1.5,0.05,0.5,0.0,2.0,3.591824131563809,0.0,1.5,0.05,0.5,-0.03015,0.24885000000000002,-0.02251999999999997,0.0,0.0,0.0,0.0,0.02636631616041581
72,3,0.05515,1.49915,3.634344131563809,0.0,1.5,0.05,0.5,0.025,1.748,3.611824131563809,0.0,1.5,0.05,0.5,-0.0312109,0.2132991,-0.02283752000000004,0.0,0.0,0.0,0.0,0.02653071216041581
96,4,0.0863609,1.2858509,3.657181651563809,0.0,1.5,0.05,0.5,0.05515,1.49915,3.634344131563809,0.0,1.5,0.05,0.5,-0.0314294454,0.1780114266,-0.02287752751999998,0.0,0.0,0.0,0.0,0.02669742605641581
120,5,0.1177903454,1.1078394734,3.680059179083809,0.0,1.5,0.05,0.5,0.0863609,1.2858509,3.657181651563809,0.0,1.5,0.05,0.5,-0.0314744657524,0.1471756298796,-0.02288256846752,0.0,0.0,0.0,0.0,0.02686443200731181
144,6,0.14926481115239998,0.9606638435204001,3.702941747551329,0.0,1.5,0.05,0.5,0.1177903454,1.1078394734,3.680059179083809,0.0,1.5,0.05,0.5,-0.0314837399449944,0.12078040744319762,-0.02288320362690747,0.0,0.0,0.0,0.0,0.0270314747571247
168,7,0.18074855109739438,0.8398834360772025,3.7258249511782364,0.0,1.5,0.05,0.5,0.14926481115239998,0.9606638435204001,3.702941747551329,0.0,1.5,0.05,0.5,-0.03148565042866885,0.09826932684529874,-0.02288328365699037,0.0,0.0,0.0,0.0,0.02719852214360113
192,8,0.21223420152606323,0.7416141092319037,3.748708234835227,0.0,1.5,0.05,0.5,0.18074855109739438,0.8398834360772025,3.7258249511782364,0.0,1.5,0.05,0.5,-0.03148604398830579,0.07908380355344355,-0.02288329374078083,0.0,0.0,0.0,0.0,0.02736557011429716
