cycle,hour,SUPPLY,DEMAND,RC,xroot,dALp,FC,r_l,r_f,f_n_t,genr,sla,sum_nodes,L_dem,S_dem,F_dem,g_f,g_s,g_l,d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L'
311,23,-0.03116606379345471,0.2100869392872826,-0.1483484118488527,1.0,0.00187293699550365,1.0,0.0063,0.0103,0.55,0.275,0.05597014925373134,0.00749174798201462,0.19944032027853853,0.0045471497517596,0.00609946925698445,-0.00090484657739454,-0.00067456244411244,-0.02958665477194772,-0.03148614605783933,-0.00415444124014281,-0.02288329519446173,-0.00111040896589176,-0.01231718945110738,-0.03375338196819226,-0.00027784722877593
312,0,-0.02981141676441117,0.23760596513618962,-0.1483484118488527,1.0,0.00188174706415352,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00752698825661409,0.2257996117140806,0.00518736275517022,0.0066189906669388,-0.00098191675348275,-0.00076953702641339,-0.03349701379387145,-0.03148614608791491,-0.00819580721095509,-0.02288329519450226,-0.00121066100045645,-0.01308672647752074,-0.03774993992186369,-0.00027915418846842
313,1,-0.02981141676441117,0.23760596513618962,-0.12546577585846397,1.0,0.00188174706415352,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00752698825661409,0.2257996117140806,0.00518736275517022,0.0066189906669388,-0.00083045679942741,-0.00065083649273673,-0.02833012347224703,-0.03148614608791491,-0.00819580721095509,-0.02288329519450226,-0.00105920104640111,-0.01296802594384405,-0.03258304960023926,-0.00023609485537341
314,2,-0.02981141676441117,0.23760596513618962,-0.12546577585846397,1.0,0.00188174706415352,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00752698825661409,0.2257996117140806,0.00518736275517022,0.0066189906669388,-0.00083045679942741,-0.00065083649273673,-0.02833012347224703,-0.03148614608791491,-0.00819580721095509,-0.02288329519450226,-0.00105920104640111,-0.01296802594384405,-0.03258304960023926,-0.00023609485537341
315,3,-0.02981141676441117,0.23760596513618962,-0.12546577585846397,1.0,0.00188174706415352,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00752698825661409,0.2257996117140806,0.00518736275517022,0.0066189906669388,-0.00083045679942741,-0.00065083649273673,-0.02833012347224703,-0.03148614608791491,-0.00819580721095509,-0.02288329519450226,-0.00105920104640111,-0.01296802594384405,-0.03258304960023926,-0.00023609485537341
316,4,0.16395125808644506,0.7705182120814956,-0.12546577585846397,1.0,0.00190997327011583,1.015,0.0063,0.0103,0.55,0.279125,0.01524608128067083,0.0076398930804633,0.7466469895003373,0.01715294705421539,0.00671827552694288,-0.00084291365141882,-0.00215210781041629,-0.09367864383004622,-0.03158343827923362,-0.00831874431911941,-0.0229265446224197,-0.00107508906209713,-0.01465405510329032,-0.09799536384995833,-0.00023963627820401
317,5,0.16395125808644506,0.7705182120814956,0.2127805099421899,1.0,0.00190997327011583,1.015,0.0063,0.0103,0.55,0.279125,0.01524608128067083,0.0076398930804633,0.7466469895003373,0.01715294705421539,0.00671827552694288,0.00142951809255504,0.00364981282120733,0.15887192717268267,-0.03158343827923362,-0.00831874431911941,-0.0229265446224197,0.00119734268187673,-0.00885213447166677,0.15455520715277057,0.0004064050863912
318,6,0.16293112052320344,0.7275228514145174,0.2127805099421899,1.0,0.00190997327011583,1.015,0.0063,0.0103,0.55,0.279125,0.01615549665530733,0.0076398930804633,0.7046171920781329,0.01618738380944168,0.00671827552694288,0.00142951809255504,0.00344435978160295,0.14992880544441908,-0.03158343827923362,-0.00831874431911941,-0.0229265446224197,0.00119734268187673,-0.00905758751127106,0.145612085424507,0.0004064050863912
319,7,0.16293112052320344,0.7275228514145174,0.22395326855564418,1.0,0.00190997327011583,1.015,0.0063,0.0103,0.55,0.279125,0.01615549665530733,0.0076398930804633,0.7046171920781329,0.01618738380944168,0.00671827552694288,0.00150457976331625,0.00362521751348918,0.157801323246398,-0.03158343827923362,-0.00831874431911941,-0.0229265446224197,0.00127240435263794,-0.00887672977938481,0.1534846032264859,0.00042774475669635
320,8,0.1618760741645778,0.6845274907475394,0.22395326855564418,1.0,0.00190997327011583,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.0076398930804633,0.6625873946559285,0.01522182056466797,0.00671827552694288,0.00150457976331625,0.00340897646882491,0.14838861273696377,-0.03158343827923362,-0.00831874431911941,-0.0229265446224197,0.00127240435263794,-0.00909297082404903,0.14407189271705167,0.00042774475669635
