cycle,TIME,PLSTN,XLAI,XSLA,TOTNST,TOTWST,TOTNLV,TOTWML,FWFR10,APFFW,TOTNF,TOTWMF,ATL,ATT,ATV
528,22,68.20596408885879,0.06184753362988678,182.5802941155709,64.20596408885883,2.661881938439314,54.514619615687906,4.9541458393628535,45.68052324542255,14423256.61155177,112.54569223980718,29.79298449313752,0.0,37.40901227093969,7.616027777802167
552,23,68.20596408887734,0.06184753362990471,134.35099472315574,64.20596408887737,2.661881938440157,54.51461961570187,4.954145839364334,48.372068805390725,1597324.7715258424,112.54569223986098,29.792984493227475,0.0,37.40901227103197,7.616027777804491
576,24,68.20596408889588,0.06184753362992258,98.86165355962322,64.20596408889588,2.661881938440997,54.5146196157158,4.9541458393658155,51.17762551819397,272735.1657080856,112.54569223991477,29.792984493319015,0.0,37.409012271125825,7.616027777806813
600,25,68.20596408891443,0.06184753362994042,72.74696078804043,64.20596408891446,2.6618819384418355,54.514619615729735,4.954145839367292,54.09362989590835,62433.55841320345,112.54569223996857,29.79298449340763,0.0,37.40901227121676,7.616027777809127
624,26,68.20596408893297,0.06184753362995823,53.530566338460325,64.20596408893299,2.6618819384426726,54.51461961574369,4.954145839368768,57.11328256464433,17704.08460677752,112.54569224002235,29.79298449349417,0.0,37.40901227130561,7.616027777811441
648,27,68.20596408895152,0.06184753362997603,39.390257705625075,64.20596408895156,2.6618819384435084,54.51461961575764,4.954145839370236,60.22875475953408,5921.739622855539,112.54569224007616,29.792984493579432,0.0,37.40901227139318,7.616027777813745
672,28,68.20596408897006,0.06184753362999373,28.985166950621128,64.2059640889701,2.661881938444343,54.51461961577159,4.954145839371706,63.43424291747631,2262.585350953532,112.5456922401299,29.79298449366106,0.0,37.40901227147711,7.616027777816049
696,29,68.20596408898861,0.06184753363001142,21.328621649448284,64.20596408898864,2.661881938445175,54.514619615785534,4.954145839373169,66.72966474623306,966.3629083745654,112.54569224018373,29.792984493742242,0.0,37.409012271560584,7.616027777818344
720,30,68.20596408900715,0.06184753363002907,15.694582761251192,64.20596408900718,2.6618819384460055,54.51461961579948,4.954145839374629,70.12467653293614,454.6657090176943,112.54569224023753,29.79298449381925,0.0,37.40901227163989,7.6160277778206344
744,31,68.2059640890257,0.06184753363004667,11.548797299908127,64.20596408902573,2.6618819384468346,54.51461961581342,4.954145839376087,73.64260526489458,233.34127572217108,112.54569224029129,29.79298449389623,0.0,37.40901227171915,7.6160277778229215
768,32,68.20596408904424,0.06184753363006424,8.49813729692337,64.20596408904429,2.661881938447663,54.51461961582738,4.954145839377541,77.32384523306582,129.7622513037389,112.54569224034508,29.792984493968966,0.0,37.40901227179417,7.616027777825204
792,33,68.20596408906279,0.06184753363008179,6.253321075585169,64.20596408906283,2.6618819384484893,54.51461961584131,4.954145839378993,81.22827580933043,77.80731482139029,112.54569224039888,29.79298449403725,0.0,37.40901227186473,7.616027777827483
816,34,68.20596408908133,0.06184753363009929,4.601481846483023,64.20596408908136,2.6618819384493144,54.51461961585526,4.954145839380445,85.4363165948293,50.077746811778695,112.54569224045264,29.792984494101592,0.0,37.40901227193135,7.616027777829759
840,35,68.20596408909988,0.06184753363011677,3.385982415899699,64.20596408909995,2.661881938450138,54.5146196158692,4.954145839381889,90.04834287826998,34.41930121402373,112.54569224050643,29.79298449416243,0.0,37.409012271994456,7.616027777832027
864,36,68.20596408911842,0.06184753363013421,2.4915619179972266,64.20596408911847,2.661881938450961,54.51461961588315,4.954145839383334,95.18232722421791,25.1076104045057,112.54569224056021,29.792984494220047,0.0,37.40901227205434,7.6160277778342955
888,37,68.20596408913697,0.06184753363015166,1.8334060958392577,64.20596408913701,2.661881938451783,54.514619615897104,4.954145839384777,100.96973656838425,19.29931921758482,112.54569224061399,29.79298449427475,0.0,37.40901227211131,7.61602777783656
912,38,68.20596408915551,0.06184753363016905,1.3491047104659741,64.20596408915554,2.661881938452604,54.51461961591103,4.954145839386218,107.54988047608842,15.512979800590937,112.54569224066779,29.792984494326838,0.0,37.40901227216566,7.616027777838822
936,39,68.20596408917406,0.06184753363018644,0.9927334318446828,64.20596408917412,2.6618819384534236,54.51461961592497,4.954145839387657,115.06305694309647,12.94253791306783,112.54569224072158,29.79298449437656,0.0,37.409012272217645,7.61602777784108
960,40,68.2059640891926,0.06184753363020379,0.7304990214923627,64.20596408919265,2.6618819384542425,54.51461961593892,4.954145839389094,123.64296092161158,11.13167753932886,112.54569224077538,29.792984494424125,0.0,37.40901227226746,7.616027777843336
