cycle,i,LVSNi,tab,TEMFAC,FCO2D,RCLFAi
192,15,0.0,0.0032,21.92,24.243199425784486,0.0
192,16,0.0,0.0032,21.92,24.243199425784486,0.0
192,17,0.0,0.0032,21.92,24.243199425784486,0.0
192,18,0.0,0.0032,21.92,24.243199425784486,0.0
192,19,0.0,0.0016,21.92,24.243199425784486,0.0
216,0,45.26812589249306,-0.0002,21.92,24.243196308270583,-4.811194770084244
216,1,57.8861090183079,0.00025,21.92,24.243196308270583,7.690326788401292
216,2,33.820271915605794,0.0007,21.92,24.243196308270583,12.580721921726525
216,3,12.84433785614346,0.00115,21.92,24.243196308270583,7.849463765657949
216,4,3.5831781014794437,0.0016,21.92,24.243196308270583,3.046623627946946
216,5,0.7360287394942531,0.00235,21.92,24.243196308270583,0.9191641191051798
216,6,0.10818933940227574,0.0031,21.92,24.243196308270583,0.17822826970532857
216,7,0.01026435563125883,0.00315,21.92,24.243196308270583,0.01718195876755945
216,8,0.00046782533249653,0.0032,21.92,24.243196308270583,0.00079554388387649
216,9,0.0,0.0032,21.92,24.243196308270583,0.0
216,10,0.0,0.0032,21.92,24.243196308270583,0.0
216,11,0.0,0.0032,21.92,24.243196308270583,0.0
216,12,0.0,0.0032,21.92,24.243196308270583,0.0
216,13,0.0,0.0032,21.92,24.243196308270583,0.0
216,14,0.0,0.0032,21.92,24.243196308270583,0.0
216,15,0.0,0.0032,21.92,24.243196308270583,0.0
216,16,0.0,0.0032,21.92,24.243196308270583,0.0
216,17,0.0,0.0032,21.92,24.243196308270583,0.0
216,18,0.0,0.0032,21.92,24.243196308270583,0.0
216,19,0.0,0.0016,21.92,24.243196308270583,0.0
240,0,33.307192436459864,-0.0002,21.92,24.243196288879098,-3.5399607730365945
240,1,54.55212944112892,0.00025,21.92,24.243196288879098,7.2473985414566044
240,2,40.17905434605412,0.0007,21.92,24.243196288879098,14.946110151411213
240,3,18.38669237264502,0.00115,21.92,24.243196288879098,11.236521263328733
240,4,6.030202889448303,0.0016,21.92,24.243196288879098,5.127224511119508
240,5,1.4883151969564308,0.00235,21.92,24.243196288879098,1.8586311273756446
240,6,0.2740798558805009,0.0031,21.92,24.243196288879098,0.451511939212073
240,7,0.03613853003241296,0.00315,21.92,24.243196288879098,0.06049388337145048
240,8,0.00305630810487141,0.0032,21.92,24.243196288879098,0.00519729704493029
240,9,0.0001236108884184,0.0032,21.92,24.243196288879098,0.00021020214031243
240,10,0.0,0.0032,21.92,24.243196288879098,0.0
240,11,0.0,0.0032,21.92,24.243196288879098,0.0
240,12,0.0,0.0032,21.92,24.243196288879098,0.0
240,13,0.0,0.0032,21.92,24.243196288879098,0.0
240,14,0.0,0.0032,21.92,24.243196288879098,0.0
240,15,0.0,0.0032,21.92,24.243196288879098,0.0
240,16,0.0,0.0032,21.92,24.243196288879098,0.0
240,17,0.0,0.0032,21.92,24.243196288879098,0.0
240,18,0.0,0.0032,21.92,24.243196288879098,0.0
240,19,0.0,0.0016,21.92,24.243196288879098,0.0
264,0,24.50661810669702,-0.0002,21.92,24.24319628876634,-2.604616613741611
264,1,48.93869777549724,0.00025,21.92,24.24319628876634,6.501638900458198
264,2,43.97677212010368,0.0007,21.92,24.24319628876634,16.358814086227294
264,3,24.144767096215983,0.00115,21.92,24.24319628876634,14.755410237739277
