cycle,DTFAST,GENRF,TEMFCF,RDVLVF,RDVFRF,TTHF,TTLF,TTABF,FCO2,TSLAF,CSLAF,GPF,MAINTF
71,24,0.506,0.9199999999999999,0.011,0.0145,0.0,0.0,0.0,1.0,1.18,0.0,1.0069366352141937,0.00194630780850335
72,1,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,1.0069366352141937,-0.00029960036516992
73,2,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,1.0069366352141937,-0.00029960036516992
74,3,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,1.0069366352141937,-0.00029960036516992
75,4,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,1.0069366352141937,-0.00029960036516992
76,5,0.47300000000000003,0.86,0.01072810839532392,0.01392590993623778,0.0,0.0,0.0,1.0315488841657616,1.27,1.5175,0.8341107977566525,-0.00029960036516992
77,6,0.47300000000000003,0.86,0.01072810839532392,0.01392590993623778,0.0,0.0,0.0,1.0315488841657616,1.27,1.5175,0.8341107977566525,-0.00029960036516992
78,7,0.4895,0.8899999999999999,0.01103757306057365,0.01444168437832066,0.0,0.0,0.0,1.0315488841657616,1.225,1.5175,0.8341107977566525,-0.00030985259802708
79,8,0.4895,0.8899999999999999,0.01103757306057365,0.01444168437832066,0.0,0.0,0.0,1.0315488841657616,1.225,1.5175,0.8341107977566525,-0.00030985259802708
80,9,0.506,0.9199999999999999,0.01134703772582338,0.01495745882040354,0.0,0.0,0.0,1.0315488841657616,1.18,1.5175,0.8341107977566525,-0.00032045565915676
81,10,0.506,0.9199999999999999,0.01134703772582338,0.01495745882040354,0.0,0.0,0.0,1.0315488841657616,1.18,1.5175,0.8341107977566525,-0.00032045565915676
82,11,0.506,0.9199999999999999,0.01134703772582338,0.01495745882040354,0.0,0.0,0.0,1.0315488841657616,1.18,1.5175,0.8341107977566525,-0.00032045565915676
83,12,0.506,0.9199999999999999,0.01134703772582338,0.01495745882040354,0.0,0.0,0.0,1.0315488841657616,1.18,1.5175,0.8341107977566525,-0.00032045565915676
84,13,0.5264285714285715,0.9571428571428571,0.01160492494686482,0.01598900770456931,0.0,0.0,0.0,1.0315488841657616,1.09,1.5175,0.8341107977566525,-0.00034276269799389
85,14,0.5264285714285715,0.9571428571428571,0.01160492494686482,0.01598900770456931,0.0,0.0,0.0,1.0315488841657616,1.09,1.5175,0.8341107977566525,-0.00034276269799389
86,15,0.5264285714285715,0.9571428571428571,0.01160492494686482,0.01598900770456931,0.0,0.0,0.0,1.0315488841657616,1.09,1.5175,0.8341107977566525,-0.00034276269799389
87,16,0.5264285714285715,0.9571428571428571,0.01160492494686482,0.01598900770456931,0.0,0.0,0.0,1.0315488841657616,1.09,1.5175,0.8341107977566525,-0.00034276269799389
88,17,0.5264285714285715,0.9571428571428571,0.01160492494686482,0.01598900770456931,0.0,0.0,0.0,1.0315488841657616,1.09,1.5175,0.8341107977566525,-0.00034276269799389
89,18,0.5264285714285715,0.9571428571428571,0.01160492494686482,0.01598900770456931,0.0,0.0,0.0,1.0315488841657616,1.09,1.5175,0.8341107977566525,-0.00034276269799389
90,19,0.5264285714285715,0.9571428571428571,0.01160492494686482,0.01598900770456931,0.0,0.0,0.0,1.0315488841657616,1.09,1.5175,0.8341107977566525,-0.00034276269799389
91,20,0.506,0.9199999999999999,0.01134703772582338,0.01495745882040354,0.0,0.0,0.0,1.0315488841657616,1.18,1.5175,0.8341107977566525,-0.00032045565915676
92,21,0.506,0.9199999999999999,0.01134703772582338,0.01495745882040354,0.0,0.0,0.0,1.0315488841657616,1.18,1.5175,0.8341107977566525,-0.00032045565915676
93,22,0.506,0.9199999999999999,0.011,0.0145,0.0,0.0,0.0,1.0,1.18,0.0,0.8341107977566525,-0.00032045565915676
94,23,0.506,0.9199999999999999,0.011,0.0145,0.0,0.0,0.0,1.0,1.18,0.0,0.8341107977566525,-0.00032045565915676
95,24,0.506,0.9199999999999999,0.011,0.0145,0.0,0.0,0.0,1.0,1.18,0.0,0.8341107977566525,-0.00032045565915676
96,1,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.8341107977566525,-0.00114315703583689
97,2,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.8341107977566525,-0.00114315703583689
98,3,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.8341107977566525,-0.00114315703583689
99,4,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.8341107977566525,-0.00114315703583689
100,5,0.47300000000000003,0.86,0.01063430089167131,0.01380414058053487,0.0,0.0,0.0,1.0225289318914719,1.27,1.5175,0.6653078349907798,-0.00114315703583689
101,6,0.47300000000000003,0.86,0.01063430089167131,0.01380414058053487,0.0,0.0,0.0,1.0225289318914719,1.27,1.5175,0.6653078349907798,-0.00114315703583689
102,7,0.4895,0.8899999999999999,0.01094105957123875,0.01431540504648061,0.0,0.0,0.0,1.0225289318914719,1.225,1.5175,0.6653078349907798,-0.00118227551994508
103,8,0.4895,0.8899999999999999,0.01094105957123875,0.01431540504648061,0.0,0.0,0.0,1.0225289318914719,1.225,1.5175,0.6653078349907798,-0.00118227551994508
104,9,0.506,0.9199999999999999,0.01124781825080619,0.01482666951242634,0.0,0.0,0.0,1.0225289318914719,1.18,1.5175,0.6653078349907798,-0.00122273262661425
105,10,0.506,0.9199999999999999,0.01124781825080619,0.01482666951242634,0.0,0.0,0.0,1.0225289318914719,1.18,1.5175,0.6653078349907798,-0.00122273262661425
106,11,0.506,0.9199999999999999,0.01124781825080619,0.01482666951242634,0.0,0.0,0.0,1.0225289318914719,1.18,1.5175,0.6653078349907798,-0.00122273262661425
107,12,0.506,0.9199999999999999,0.01124781825080619,0.01482666951242634,0.0,0.0,0.0,1.0225289318914719,1.18,1.5175,0.6653078349907798,-0.00122273262661425
108,13,0.5264285714285715,0.9571428571428571,0.01150345048377906,0.01584919844431781,0.0,0.0,0.0,1.0225289318914719,1.09,1.5175,0.6653078349907798,-0.00130784750416417
109,14,0.5264285714285715,0.9571428571428571,0.01150345048377906,0.01584919844431781,0.0,0.0,0.0,1.0225289318914719,1.09,1.5175,0.6653078349907798,-0.00130784750416417
110,15,0.5264285714285715,0.9571428571428571,0.01150345048377906,0.01584919844431781,0.0,0.0,0.0,1.0225289318914719,1.09,1.5175,0.6653078349907798,-0.00130784750416417
111,16,0.5264285714285715,0.9571428571428571,0.01150345048377906,0.01584919844431781,0.0,0.0,0.0,1.0225289318914719,1.09,1.5175,0.6653078349907798,-0.00130784750416417
112,17,0.5264285714285715,0.9571428571428571,0.01150345048377906,0.01584919844431781,0.0,0.0,0.0,1.0225289318914719,1.09,1.5175,0.6653078349907798,-0.00130784750416417
113,18,0.5264285714285715,0.9571428571428571,0.01150345048377906,0.01584919844431781,0.0,0.0,0.0,1.0225289318914719,1.09,1.5175,0.6653078349907798,-0.00130784750416417
114,19,0.5264285714285715,0.9571428571428571,0.01150345048377906,0.01584919844431781,0.0,0.0,0.0,1.0225289318914719,1.09,1.5175,0.6653078349907798,-0.00130784750416417
115,20,0.506,0.9199999999999999,0.01124781825080619,0.01482666951242634,0.0,0.0,0.0,1.0225289318914719,1.18,1.5175,0.6653078349907798,-0.00122273262661425
116,21,0.506,0.9199999999999999,0.01124781825080619,0.01482666951242634,0.0,0.0,0.0,1.0225289318914719,1.18,1.5175,0.6653078349907798,-0.00122273262661425
117,22,0.506,0.9199999999999999,0.011,0.0145,0.0,0.0,0.0,1.0,1.18,0.0,0.6653078349907798,-0.00122273262661425
118,23,0.506,0.9199999999999999,0.011,0.0145,0.0,0.0,0.0,1.0,1.18,0.0,0.6653078349907798,-0.00122273262661425
119,24,0.506,0.9199999999999999,0.011,0.0145,0.0,0.0,0.0,1.0,1.18,0.0,0.6653078349907798,-0.00122273262661425
120,1,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.6653078349907798,0.00894250305589418
121,2,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.6653078349907798,0.00894250305589418
122,3,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.6653078349907798,0.00894250305589418
123,4,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.6653078349907798,0.00894250305589418
124,5,0.47300000000000003,0.86,0.01058220714074942,0.01373651888462665,0.0,0.0,0.0,1.017519917379752,1.27,1.5175,0.6206810495179289,0.00894250305589418
125,6,0.47300000000000003,0.86,0.01058220714074942,0.01373651888462665,0.0,0.0,0.0,1.017519917379752,1.27,1.5175,0.6206810495179289,0.00894250305589418
126,7,0.4895,0.8899999999999999,0.01088746311596335,0.01424527884331653,0.0,0.0,0.0,1.017519917379752,1.225,1.5175,0.6206810495179289,0.00924851277521793
127,8,0.4895,0.8899999999999999,0.01088746311596335,0.01424527884331653,0.0,0.0,0.0,1.017519917379752,1.225,1.5175,0.6206810495179289,0.00924851277521793
128,9,0.506,0.9199999999999999,0.01119271909117727,0.0147540388020064,0.0,0.0,0.0,1.017519917379752,1.18,1.5175,0.6206810495179289,0.00956499405353755
129,10,0.506,0.9199999999999999,0.01119271909117727,0.0147540388020064,0.0,0.0,0.0,1.017519917379752,1.18,1.5175,0.6206810495179289,0.00956499405353755
130,11,0.506,0.9199999999999999,0.01119271909117727,0.0147540388020064,0.0,0.0,0.0,1.017519917379752,1.18,1.5175,0.6206810495179289,0.00956499405353755
131,12,0.506,0.9199999999999999,0.01119271909117727,0.0147540388020064,0.0,0.0,0.0,1.017519917379752,1.18,1.5175,0.6206810495179289,0.00956499405353755
132,13,0.5264285714285715,0.9571428571428571,0.01144709907052221,0.01577155871938616,0.0,0.0,0.0,1.017519917379752,1.09,1.5175,0.6206810495179289,0.01023081688341236
133,14,0.5264285714285715,0.9571428571428571,0.01144709907052221,0.01577155871938616,0.0,0.0,0.0,1.017519917379752,1.09,1.5175,0.6206810495179289,0.01023081688341236
134,15,0.5264285714285715,0.9571428571428571,0.01144709907052221,0.01577155871938616,0.0,0.0,0.0,1.017519917379752,1.09,1.5175,0.6206810495179289,0.01023081688341236
135,16,0.5264285714285715,0.9571428571428571,0.01144709907052221,0.01577155871938616,0.0,0.0,0.0,1.017519917379752,1.09,1.5175,0.6206810495179289,0.01023081688341236
136,17,0.5264285714285715,0.9571428571428571,0.01144709907052221,0.01577155871938616,0.0,0.0,0.0,1.017519917379752,1.09,1.5175,0.6206810495179289,0.01023081688341236
137,18,0.5264285714285715,0.9571428571428571,0.01144709907052221,0.01577155871938616,0.0,0.0,0.0,1.017519917379752,1.09,1.5175,0.6206810495179289,0.01023081688341236
138,19,0.5264285714285715,0.9571428571428571,0.01144709907052221,0.01577155871938616,0.0,0.0,0.0,1.017519917379752,1.09,1.5175,0.6206810495179289,0.01023081688341236
139,20,0.506,0.9199999999999999,0.01119271909117727,0.0147540388020064,0.0,0.0,0.0,1.017519917379752,1.18,1.5175,0.6206810495179289,0.00956499405353755
140,21,0.506,0.9199999999999999,0.01119271909117727,0.0147540388020064,0.0,0.0,0.0,1.017519917379752,1.18,1.5175,0.6206810495179289,0.00956499405353755
141,22,0.506,0.9199999999999999,0.011,0.0145,0.0,0.0,0.0,1.0,1.18,0.0,0.6206810495179289,0.00956499405353755
142,23,0.506,0.9199999999999999,0.011,0.0145,0.0,0.0,0.0,1.0,1.18,0.0,0.6206810495179289,0.00956499405353755
143,24,0.506,0.9199999999999999,0.011,0.0145,0.0,0.0,0.0,1.0,1.18,0.0,0.6206810495179289,0.00956499405353755
144,1,0.00495939052495158,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.6206810495179289,0.02467916854963115
145,2,0.00495939052495158,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.6206810495179289,0.02467916854963115
146,3,0.00495939052495158,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.6206810495179289,0.02467916854963115
147,4,0.00495939052495158,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.6206810495179289,0.02467916854963115
148,5,0.00495939052495158,0.86,0.01054906457453225,0.01369349728424859,0.0,0.0,0.0,1.014333132166562,1.27,1.5175,0.5830449670442093,0.02467916854963115
149,6,0.00495939052495158,0.86,0.01054906457453225,0.01369349728424859,0.0,0.0,0.0,1.014333132166562,1.27,1.5175,0.5830449670442093,0.02467916854963115
150,7,0.00513239252000803,0.8899999999999999,0.01085336451418221,0.01420066385033187,0.0,0.0,0.0,1.014333132166562,1.225,1.5175,0.5830449670442093,0.02552368214876696
151,8,0.00513239252000803,0.8899999999999999,0.01085336451418221,0.01420066385033187,0.0,0.0,0.0,1.014333132166562,1.225,1.5175,0.5830449670442093,0.02552368214876696
152,9,0.00530539451506448,0.9199999999999999,0.01115766445383218,0.01470783041641515,0.0,0.0,0.0,1.014333132166562,1.18,1.5175,0.5830449670442093,0.02639709474495328
153,10,0.00530539451506448,0.9199999999999999,0.01115766445383218,0.01470783041641515,0.0,0.0,0.0,1.014333132166562,1.18,1.5175,0.5830449670442093,0.02639709474495328
154,11,0.00530539451506448,0.9199999999999999,0.01115766445383218,0.01470783041641515,0.0,0.0,0.0,1.014333132166562,1.18,1.5175,0.5830449670442093,0.02639709474495328
155,12,0.00530539451506448,0.9199999999999999,0.01115766445383218,0.01470783041641515,0.0,0.0,0.0,1.014333132166562,1.18,1.5175,0.5830449670442093,0.02639709474495328
156,13,0.00551958746132485,0.9571428571428571,0.01141124773687382,0.01572216354858171,0.0,0.0,0.0,1.014333132166562,1.09,1.5175,0.5830449670442093,0.02823460642819972
157,14,0.00551958746132485,0.9571428571428571,0.01141124773687382,0.01572216354858171,0.0,0.0,0.0,1.014333132166562,1.09,1.5175,0.5830449670442093,0.02823460642819972
158,15,0.00551958746132485,0.9571428571428571,0.01141124773687382,0.01572216354858171,0.0,0.0,0.0,1.014333132166562,1.09,1.5175,0.5830449670442093,0.02823460642819972
