cycle,DTFAST,GENR,TEMFAC,RDVLV,RDVFR,TTH,TTL,TTAB,FCO2D,TSLA,CSLA,GP,MAINT,GPFN
51,4,1.8920000000000001,3.44,0.0416,0.054,0.0,0.0,0.0,4.0,5.08,0.0,4.21663807369186,0.007278567421091,0.7366379135973846
52,5,2.365,4.3,0.052494,0.06814125,0.0,0.0,0.0,5.0475,6.35,1.5175,5.223574708906054,0.00909820927636375,0.7035818953512447
53,6,2.838,5.16,0.063388,0.08228250000000001,0.0,0.0,0.0,6.095000000000001,7.619999999999999,3.035,6.230511344120248,0.0109178511316365,0.7035818953512447
54,7,3.3275,6.05,0.07459625,0.0969475,0.0,0.0,0.0,7.142500000000001,8.844999999999999,4.5525,7.2374479793344415,0.01279976057462171,0.703538308039846
55,8,3.817,6.9399999999999995,0.0858045,0.1116125,0.0,0.0,0.0,8.190000000000001,10.069999999999999,6.07,8.244384614548636,0.01468167001760691,0.703538308039846
56,9,4.323,7.859999999999999,0.09732700000000001,0.12680125,0.0,0.0,0.0,9.2375,11.249999999999998,7.5875,9.25132124976283,0.01662797782611026,0.7034932291839833
57,10,4.829000000000001,8.78,0.10884950000000002,0.14199,0.0,0.0,0.0,10.285,12.429999999999998,9.105,10.258257884977024,0.01857428563461361,0.7034932291839833
58,11,5.335000000000001,9.7,0.12037200000000002,0.15717875,0.0,0.0,0.0,11.3325,13.609999999999998,10.6225,11.265194520191217,0.02052059344311696,0.7034932291839833
59,12,5.841000000000001,10.62,0.13189450000000003,0.1723675,0.0,0.0,0.0,12.379999999999999,14.789999999999997,12.14,12.272131155405411,0.02246690125162031,0.7034932291839833
60,13,6.367428571428572,11.577142857142857,0.14367887500000004,0.18860375000000001,0.0,0.0,0.0,13.427499999999998,15.879999999999997,13.6575,13.279067790619605,0.02454869227795021,0.7033983909315046
