cycle,int(cycle / 24),length(leaf_proportion),sum(leaf_proportion),leaf_proportion,,,,,,,,,
164,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
165,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
166,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
167,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
168,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
169,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
170,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
171,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
172,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
173,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
174,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
175,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
176,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
177,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
178,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
179,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
180,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
181,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
182,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
183,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
184,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
185,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
186,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
187,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
188,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
189,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
190,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
191,7,8,0.106465735,0.093525635,0.012191256,0.000724081,2.42655E-05,4.90919E-07,5.9772E-09,4.05001E-11,1.1773E-13,,
