cycle,hour,SUPPLY,DEMAND,RC,xroot,dALp,FC,r_l,r_f,f_n_t,genr,sla,sum_nodes,L_dem,S_dem,F_dem,g_f,g_s,g_l,d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L'
472,16,-0.04200878260457384,0.17228299306258738,-0.2438359228488258,1.0,0.00101660718198239,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00203321436396477,0.15396433171789714,0.00843650042748373,0.00988216091720652,-0.00240962582698765,-0.00205712186735001,-0.03754203491023619,-0.03797512594458319,-0.03454296891155595,-0.02441304347826088,-0.00517574283589218,-0.03498115029574755,-0.04438516616550235,-0.00024788535039342
473,17,-0.04200878260457384,0.17228299306258738,-0.2438359228488258,1.0,0.00101660718198239,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00203321436396477,0.15396433171789714,0.00843650042748373,0.00988216091720652,-0.00240962582698765,-0.00205712186735001,-0.03754203491023619,-0.03797512594458319,-0.03454296891155595,-0.02441304347826088,-0.00517574283589218,-0.03498115029574755,-0.04438516616550235,-0.00024788535039342
474,18,-0.04200878260457384,0.17228299306258738,-0.2438359228488258,1.0,0.00101660718198239,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00203321436396477,0.15396433171789714,0.00843650042748373,0.00988216091720652,-0.00240962582698765,-0.00205712186735001,-0.03754203491023619,-0.03797512594458319,-0.03454296891155595,-0.02441304347826088,-0.00517574283589218,-0.03498115029574755,-0.04438516616550235,-0.00024788535039342
475,19,-0.03927483608242197,0.1958796951691812,-0.2438359228488258,1.0,0.00101660718198239,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00203321436396477,0.1763352175230617,0.00966231672891299,0.00988216091720652,-0.00240962582698765,-0.00235601991645215,-0.04299686049548419,-0.03158343828715304,-0.02290744254134763,-0.02292654462242564,-0.00381312361968305,-0.03528004834484966,-0.04753493701213437,-0.00024788535039342
476,20,-0.03927483608242197,0.1958796951691812,-0.20050488667802097,1.0,0.00101660718198239,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00203321436396477,0.1763352175230617,0.00966231672891299,0.00988216091720652,-0.00198142155483846,-0.00193734172077785,-0.03535607280680566,-0.03158343828715304,-0.02290744254134763,-0.02292654462242564,-0.00338491934753386,-0.03486137014917534,-0.03989414932345584,-0.00020383470781944
477,21,-0.03927498585770883,0.06598515194558334,-0.20050488667802097,1.0,0.00100158343052452,1.0,0.0063,0.0103,0.55,0.275,0.05597014925373134,0.00200316686104904,0.05332697273027347,0.00292206008505715,0.00973611913025273,-0.00195213946289504,-0.00058588732622075,-0.0106923186241654,-0.03148614609571729,-0.02256890890773167,-0.02288329519450803,-0.00333489590890036,-0.0330233537581397,-0.01516332997061878,-0.0002008223722359
478,22,-0.03927498585770883,0.06598515194558334,-0.5952094478784884,1.0,0.00100158343052452,1.0,0.0063,0.0103,0.55,0.275,0.05597014925373134,0.00200316686104904,0.05332697273027347,0.00292206008505715,0.00973611913025273,-0.00579503009199691,-0.00173923776989463,-0.03174071799581728,-0.03148614609571729,-0.02256890890773167,-0.02288329519450803,-0.00717778653800224,-0.03417670420181351,-0.03621172934227067,-0.00059615192068674
479,23,-0.03927498585770883,0.06598515194558334,-0.5952094478784884,1.0,0.00100158343052452,1.0,0.0063,0.0103,0.55,0.275,0.05597014925373134,0.00200316686104904,0.05332697273027347,0.00292206008505715,0.00973611913025273,-0.00579503009199691,-0.00173923776989463,-0.03174071799581728,-0.03148614609571729,-0.02256890890773167,-0.02288329519450803,-0.00717778653800224,-0.03417670420181351,-0.03621172934227067,-0.00059615192068674
480,0,-0.03780077153157015,0.07434136045521479,-0.5952094478784884,1.0,0.0010103934991744,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00202078699834881,0.06062091556779983,0.00346480434658289,0.01025564054083206,-0.0061042541439489,-0.00206228428213659,-0.0360821416849986,-0.03148614609571777,-0.02388744426010754,-0.02288329519450803,-0.00758287817077736,-0.03623898848395002,-0.04064481958212469,-0.00060139575678361
481,1,-0.03780077153157015,0.07434136045521479,-0.5084756493572961,1.0,0.0010103934991744,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00202078699834881,0.06062091556779983,0.00346480434658289,0.01025564054083206,-0.0052147434835746,-0.00176176864002472,-0.03082425940797083,-0.03148614609571777,-0.02388744426010754,-0.02288329519450803,-0.00669336751040306,-0.03593847284183815,-0.03538693730509693,-0.0005137604905991
