cycle,name,size,age_class,parent.name,parent.is_main_stem,parent.level
1031,fruit7,0.2947551744109042,36,stem16,false,4.1
1031,fruit8,0.2947551744109042,36,stem17,false,4.8
1031,fruit9,0.07473009358642425,12,stem13,false,4.1
1031,fruit10,0.07473009358642425,12,stem13,false,4.1
1032,fruit1,0.7818314824680297,75,stem8,false,3.4000000000000004
1032,fruit2,0.7818314824680297,75,stem8,false,3.4000000000000004
1032,fruit3,0.43388373911755806,65,stem15,false,5.1
1032,fruit4,0.43388373911755806,65,stem15,false,5.1
1032,fruit5,0.43388373911755806,65,stem15,false,5.1
1032,fruit6,0.3302790619551671,40,stem16,false,4.1
1032,fruit7,0.3302790619551671,40,stem16,false,4.1
1032,fruit8,0.3302790619551671,40,stem17,false,4.8
1032,fruit9,0.11196447610330784,16,stem13,false,4.1
1032,fruit10,0.11196447610330784,16,stem13,false,4.1
1033,fruit1,0.8045977797666684,78,stem8,false,3.4000000000000004
1033,fruit2,0.8045977797666684,78,stem8,false,3.4000000000000004
1033,fruit3,0.467268628273062,70,stem15,false,5.1
1033,fruit4,0.467268628273062,70,stem15,false,5.1
1033,fruit5,0.467268628273062,70,stem15,false,5.1
1033,fruit6,0.365341024366395,44,stem16,false,4.1
1033,fruit7,0.365341024366395,44,stem16,false,4.1
1033,fruit8,0.365341024366395,44,stem17,false,4.8
1033,fruit9,0.14904226617617444,20,stem13,false,4.1
1033,fruit10,0.14904226617617444,20,stem13,false,4.1
1034,fruit1,0.8262387743159949,81,stem8,false,3.4000000000000004
1034,fruit2,0.8262387743159949,81,stem8,false,3.4000000000000004
1034,fruit3,0.49999999999999994,75,stem15,false,5.1
1034,fruit4,0.49999999999999994,75,stem15,false,5.1
1034,fruit5,0.49999999999999994,75,stem15,false,5.1
1034,fruit6,0.39989202431974097,48,stem16,false,4.1
1034,fruit7,0.39989202431974097,48,stem16,false,4.1
1034,fruit8,0.39989202431974097,48,stem17,false,4.8
1034,fruit9,0.18591160716291458,24,stem13,false,4.1
1034,fruit10,0.18591160716291458,24,stem13,false,4.1
1035,fruit1,0.8467241992282841,84,stem8,false,3.4000000000000004
1035,fruit2,0.8467241992282841,84,stem8,false,3.4000000000000004
1035,fruit3,0.5320320765153367,80,stem15,false,5.1
1035,fruit4,0.5320320765153367,80,stem15,false,5.1
1035,fruit5,0.5320320765153367,80,stem15,false,5.1
1035,fruit6,0.43388373911755806,52,stem16,false,4.1
1035,fruit7,0.43388373911755806,52,stem16,false,4.1
1035,fruit8,0.43388373911755806,52,stem17,false,4.8
1035,fruit9,0.22252093395631437,28,stem13,false,4.1
1035,fruit10,0.22252093395631437,28,stem13,false,4.1
1036,fruit1,0.8660254037844386,87,stem8,false,3.4000000000000004
1036,fruit2,0.8660254037844386,87,stem8,false,3.4000000000000004
1036,fruit3,0.5633200580636221,85,stem15,false,5.1
1036,fruit4,0.5633200580636221,85,stem15,false,5.1
1036,fruit5,0.5633200580636221,85,stem15,false,5.1
1036,fruit6,0.467268628273062,56,stem16,false,4.1
1036,fruit7,0.467268628273062,56,stem16,false,4.1
1036,fruit8,0.467268628273062,56,stem17,false,4.8
1036,fruit9,0.25881904510252074,32,stem13,false,4.1
1036,fruit10,0.25881904510252074,32,stem13,false,4.1
1037,fruit1,0.8841153935046097,90,stem8,false,3.4000000000000004
1037,fruit2,0.8841153935046097,90,stem8,false,3.4000000000000004
1037,fruit3,0.5938201855735017,90,stem15,false,5.1
1037,fruit4,0.5938201855735017,90,stem15,false,5.1
1037,fruit5,0.5938201855735017,90,stem15,false,5.1
1037,fruit6,0.49999999999999994,60,stem16,false,4.1
1037,fruit7,0.49999999999999994,60,stem16,false,4.1
1037,fruit8,0.49999999999999994,60,stem17,false,4.8
1037,fruit9,0.2947551744109042,36,stem13,false,4.1
1037,fruit10,0.2947551744109042,36,stem13,false,4.1
1038,fruit1,0.9009688679024193,93,stem8,false,3.4000000000000004
1038,fruit2,0.9009688679024193,93,stem8,false,3.4000000000000004
1038,fruit3,0.6234898018587335,95,stem15,false,5.1
1038,fruit4,0.6234898018587335,95,stem15,false,5.1
1038,fruit5,0.6234898018587335,95,stem15,false,5.1
1038,fruit6,0.5320320765153367,64,stem16,false,4.1
1038,fruit7,0.5320320765153367,64,stem16,false,4.1
1038,fruit8,0.5320320765153367,64,stem17,false,4.8
1038,fruit9,0.3302790619551671,40,stem13,false,4.1
1038,fruit10,0.3302790619551671,40,stem13,false,4.1
1039,fruit1,0.9165622558699762,96,stem8,false,3.4000000000000004
1039,fruit2,0.9165622558699762,96,stem8,false,3.4000000000000004
1039,fruit3,0.6522874112781212,100,stem15,false,5.1
1039,fruit4,0.6522874112781212,100,stem15,false,5.1
1039,fruit5,0.6522874112781212,100,stem15,false,5.1
1039,fruit6,0.5633200580636221,68,stem16,false,4.1
1039,fruit7,0.5633200580636221,68,stem16,false,4.1
1039,fruit8,0.5633200580636221,68,stem17,false,4.8
1039,fruit9,0.365341024366395,44,stem13,false,4.1
1039,fruit10,0.365341024366395,44,stem13,false,4.1
1040,fruit1,0.9308737486442042,99,stem8,false,3.4000000000000004
1040,fruit2,0.9308737486442042,99,stem8,false,3.4000000000000004
1040,fruit3,0.6801727377709194,105,stem15,false,5.1
1040,fruit4,0.6801727377709194,105,stem15,false,5.1
1040,fruit5,0.6801727377709194,105,stem15,false,5.1
1040,fruit6,0.5938201855735017,72,stem16,false,4.1
1040,fruit7,0.5938201855735017,72,stem16,false,4.1
1040,fruit8,0.5938201855735017,72,stem17,false,4.8
1040,fruit9,0.39989202431974097,48,stem13,false,4.1
1040,fruit10,0.39989202431974097,48,stem13,false,4.1
1041,fruit1,0.9438833303083676,102,stem8,false,3.4000000000000004
1041,fruit2,0.9438833303083676,102,stem8,false,3.4000000000000004
1041,fruit3,0.7071067811865475,110,stem15,false,5.1
1041,fruit4,0.7071067811865475,110,stem15,false,5.1
1041,fruit5,0.7071067811865475,110,stem15,false,5.1
1041,fruit6,0.6234898018587335,76,stem16,false,4.1
1041,fruit7,0.6234898018587335,76,stem16,false,4.1
1041,fruit8,0.6234898018587335,76,stem17,false,4.8
1041,fruit9,0.43388373911755806,52,stem13,false,4.1
1041,fruit10,0.43388373911755806,52,stem13,false,4.1
1042,fruit1,0.9555728057861408,105,stem8,false,3.4000000000000004
1042,fruit2,0.9555728057861408,105,stem8,false,3.4000000000000004
1042,fruit3,0.7330518718298263,115,stem15,false,5.1
1042,fruit4,0.7330518718298263,115,stem15,false,5.1
1042,fruit5,0.7330518718298263,115,stem15,false,5.1
1042,fruit6,0.6522874112781212,80,stem16,false,4.1
1042,fruit7,0.6522874112781212,80,stem16,false,4.1
1042,fruit8,0.6522874112781212,80,stem17,false,4.8
1042,fruit9,0.467268628273062,56,stem13,false,4.1
1042,fruit10,0.467268628273062,56,stem13,false,4.1
1043,fruit1,0.9659258262890683,108,stem8,false,3.4000000000000004
1043,fruit2,0.9659258262890683,108,stem8,false,3.4000000000000004
1043,fruit3,0.757971723145453,120,stem15,false,5.1
1043,fruit4,0.757971723145453,120,stem15,false,5.1
1043,fruit5,0.757971723145453,120,stem15,false,5.1
1043,fruit6,0.6801727377709194,84,stem16,false,4.1
1043,fruit7,0.6801727377709194,84,stem16,false,4.1
1043,fruit8,0.6801727377709194,84,stem17,false,4.8
1043,fruit9,0.49999999999999994,60,stem13,false,4.1
1043,fruit10,0.49999999999999994,60,stem13,false,4.1
1044,fruit1,0.9749279121818236,111,stem8,false,3.4000000000000004
1044,fruit2,0.9749279121818236,111,stem8,false,3.4000000000000004
1044,fruit3,0.7818314824680297,125,stem15,false,5.1
1044,fruit4,0.7818314824680297,125,stem15,false,5.1
1044,fruit5,0.7818314824680297,125,stem15,false,5.1
1044,fruit6,0.7071067811865475,88,stem16,false,4.1
1044,fruit7,0.7071067811865475,88,stem16,false,4.1
1044,fruit8,0.7071067811865475,88,stem17,false,4.8
1044,fruit9,0.5320320765153367,64,stem13,false,4.1
1044,fruit10,0.5320320765153367,64,stem13,false,4.1
1045,fruit1,0.9825664732332882,114,stem8,false,3.4000000000000004
1045,fruit2,0.9825664732332882,114,stem8,false,3.4000000000000004
1045,fruit3,0.8045977797666684,130,stem15,false,5.1
1045,fruit4,0.8045977797666684,130,stem15,false,5.1
1045,fruit5,0.8045977797666684,130,stem15,false,5.1
1045,fruit6,0.7330518718298263,92,stem16,false,4.1
1045,fruit7,0.7330518718298263,92,stem16,false,4.1
1045,fruit8,0.7330518718298263,92,stem17,false,4.8
1045,fruit9,0.5633200580636221,68,stem13,false,4.1
1045,fruit10,0.5633200580636221,68,stem13,false,4.1
1046,fruit1,0.9888308262251285,117,stem8,false,3.4000000000000004
1046,fruit2,0.9888308262251285,117,stem8,false,3.4000000000000004
1046,fruit3,0.8262387743159949,135,stem15,false,5.1
1046,fruit4,0.8262387743159949,135,stem15,false,5.1
1046,fruit5,0.8262387743159949,135,stem15,false,5.1
1046,fruit6,0.757971723145453,96,stem16,false,4.1
1046,fruit7,0.757971723145453,96,stem16,false,4.1
1046,fruit8,0.757971723145453,96,stem17,false,4.8
1046,fruit9,0.5938201855735017,72,stem13,false,4.1
1046,fruit10,0.5938201855735017,72,stem13,false,4.1
1047,fruit1,0.9937122098932426,120,stem8,false,3.4000000000000004
1047,fruit2,0.9937122098932426,120,stem8,false,3.4000000000000004
1047,fruit3,0.8467241992282841,140,stem15,false,5.1
1047,fruit4,0.8467241992282841,140,stem15,false,5.1
1047,fruit5,0.8467241992282841,140,stem15,false,5.1
1047,fruit6,0.7818314824680297,100,stem16,false,4.1
1047,fruit7,0.7818314824680297,100,stem16,false,4.1
1047,fruit8,0.7818314824680297,100,stem17,false,4.8
1047,fruit9,0.6234898018587335,76,stem13,false,4.1
1047,fruit10,0.6234898018587335,76,stem13,false,4.1
1048,fruit1,0.9972037971811801,123,stem8,false,3.4000000000000004
1048,fruit2,0.9972037971811801,123,stem8,false,3.4000000000000004
1048,fruit3,0.8660254037844386,145,stem15,false,5.1
1048,fruit4,0.8660254037844386,145,stem15,false,5.1
1048,fruit5,0.8660254037844386,145,stem15,false,5.1
1048,fruit6,0.8045977797666684,104,stem16,false,4.1
1048,fruit7,0.8045977797666684,104,stem16,false,4.1
1048,fruit8,0.8045977797666684,104,stem17,false,4.8
1048,fruit9,0.6522874112781212,80,stem13,false,4.1
1048,fruit10,0.6522874112781212,80,stem13,false,4.1
1049,fruit1,0.9993007047883986,126,stem8,false,3.4000000000000004
1049,fruit2,0.9993007047883986,126,stem8,false,3.4000000000000004
1049,fruit3,0.8841153935046097,150,stem15,false,5.1
1049,fruit4,0.8841153935046097,150,stem15,false,5.1
1049,fruit5,0.8841153935046097,150,stem15,false,5.1
1049,fruit6,0.8262387743159949,108,stem16,false,4.1
1049,fruit7,0.8262387743159949,108,stem16,false,4.1
1049,fruit8,0.8262387743159949,108,stem17,false,4.8
1049,fruit9,0.6801727377709194,84,stem13,false,4.1
1049,fruit10,0.6801727377709194,84,stem13,false,4.1
1050,fruit1,1.0,129,stem8,false,3.4000000000000004
1050,fruit2,1.0,129,stem8,false,3.4000000000000004
1050,fruit3,0.9009688679024193,155,stem15,false,5.1
1050,fruit4,0.9009688679024193,155,stem15,false,5.1
1050,fruit5,0.9009688679024193,155,stem15,false,5.1
1050,fruit6,0.8467241992282841,112,stem16,false,4.1
1050,fruit7,0.8467241992282841,112,stem16,false,4.1
1050,fruit8,0.8467241992282841,112,stem17,false,4.8
1050,fruit9,0.7071067811865475,88,stem13,false,4.1
1050,fruit10,0.7071067811865475,88,stem13,false,4.1
1051,fruit1,0.9993007047883986,132,stem8,false,3.4000000000000004
1051,fruit2,0.9993007047883986,132,stem8,false,3.4000000000000004
1051,fruit3,0.9165622558699762,160,stem15,false,5.1
1051,fruit4,0.9165622558699762,160,stem15,false,5.1
1051,fruit5,0.9165622558699762,160,stem15,false,5.1
1051,fruit6,0.8660254037844386,116,stem16,false,4.1
1051,fruit7,0.8660254037844386,116,stem16,false,4.1
1051,fruit8,0.8660254037844386,116,stem17,false,4.8
1051,fruit9,0.7330518718298263,92,stem13,false,4.1
1051,fruit10,0.7330518718298263,92,stem13,false,4.1
1052,fruit1,0.9972037971811801,135,stem8,false,3.4000000000000004
1052,fruit2,0.9972037971811801,135,stem8,false,3.4000000000000004
1052,fruit3,0.9308737486442042,165,stem15,false,5.1
1052,fruit4,0.9308737486442042,165,stem15,false,5.1
1052,fruit5,0.9308737486442042,165,stem15,false,5.1
1052,fruit6,0.8841153935046097,120,stem16,false,4.1
1052,fruit7,0.8841153935046097,120,stem16,false,4.1
1052,fruit8,0.8841153935046097,120,stem17,false,4.8
1052,fruit9,0.757971723145453,96,stem13,false,4.1
1052,fruit10,0.757971723145453,96,stem13,false,4.1
1053,fruit1,0.9937122098932426,138,stem8,false,3.4000000000000004
1053,fruit2,0.9937122098932426,138,stem8,false,3.4000000000000004
1053,fruit3,0.9438833303083676,170,stem15,false,5.1
1053,fruit4,0.9438833303083676,170,stem15,false,5.1
1053,fruit5,0.9438833303083676,170,stem15,false,5.1
1053,fruit6,0.9009688679024193,124,stem16,false,4.1
1053,fruit7,0.9009688679024193,124,stem16,false,4.1
1053,fruit8,0.9009688679024193,124,stem17,false,4.8
1053,fruit9,0.7818314824680297,100,stem13,false,4.1
1053,fruit10,0.7818314824680297,100,stem13,false,4.1
1054,fruit1,0.9888308262251285,141,stem8,false,3.4000000000000004
1054,fruit2,0.9888308262251285,141,stem8,false,3.4000000000000004
1054,fruit3,0.9555728057861408,175,stem15,false,5.1
1054,fruit4,0.9555728057861408,175,stem15,false,5.1
1054,fruit5,0.9555728057861408,175,stem15,false,5.1
1054,fruit6,0.9165622558699762,128,stem16,false,4.1
1054,fruit7,0.9165622558699762,128,stem16,false,4.1
1054,fruit8,0.9165622558699762,128,stem17,false,4.8
1054,fruit9,0.8045977797666684,104,stem13,false,4.1
1054,fruit10,0.8045977797666684,104,stem13,false,4.1
1055,fruit1,0.9825664732332883,144,stem8,false,3.4000000000000004
1055,fruit2,0.9825664732332883,144,stem8,false,3.4000000000000004
1055,fruit3,0.9659258262890683,180,stem15,false,5.1
1055,fruit4,0.9659258262890683,180,stem15,false,5.1
1055,fruit5,0.9659258262890683,180,stem15,false,5.1
1055,fruit6,0.9308737486442042,132,stem16,false,4.1
1055,fruit7,0.9308737486442042,132,stem16,false,4.1
1055,fruit8,0.9308737486442042,132,stem17,false,4.8
1055,fruit9,0.8262387743159949,108,stem13,false,4.1
1055,fruit10,0.8262387743159949,108,stem13,false,4.1
1056,fruit1,0.9749279121818236,147,stem8,false,3.4000000000000004
1056,fruit2,0.9749279121818236,147,stem8,false,3.4000000000000004
1056,fruit3,0.9749279121818236,185,stem15,false,5.1
1056,fruit4,0.9749279121818236,185,stem15,false,5.1
1056,fruit5,0.9749279121818236,185,stem15,false,5.1
1056,fruit6,0.9438833303083676,136,stem16,false,4.1
1056,fruit7,0.9438833303083676,136,stem16,false,4.1
1056,fruit8,0.9438833303083676,136,stem17,false,4.8
1056,fruit9,0.8467241992282841,112,stem13,false,4.1
1056,fruit10,0.8467241992282841,112,stem13,false,4.1
1057,fruit1,0.9659258262890683,150,stem8,false,3.4000000000000004
1057,fruit2,0.9659258262890683,150,stem8,false,3.4000000000000004
1057,fruit3,0.9825664732332882,190,stem15,false,5.1
1057,fruit4,0.9825664732332882,190,stem15,false,5.1
1057,fruit5,0.9825664732332882,190,stem15,false,5.1
1057,fruit6,0.9555728057861408,140,stem16,false,4.1
1057,fruit7,0.9555728057861408,140,stem16,false,4.1
1057,fruit8,0.9555728057861408,140,stem17,false,4.8
1057,fruit9,0.8660254037844386,116,stem13,false,4.1
1057,fruit10,0.8660254037844386,116,stem13,false,4.1
1058,fruit1,0.9555728057861407,153,stem8,false,3.4000000000000004
1058,fruit2,0.9555728057861407,153,stem8,false,3.4000000000000004
1058,fruit3,0.9888308262251285,195,stem15,false,5.1
1058,fruit4,0.9888308262251285,195,stem15,false,5.1
1058,fruit5,0.9888308262251285,195,stem15,false,5.1
